year,name,country,time,date,discipline,gender
2001,Maria de Lurdes MUTOLA,MOZ,1:56.85,17 AUG 2001,800-metres,women
2001,Violeta BECLEA-SZEKELY,ROU,3:59.35,20 JUL 2001,1500-metres,women
2001,Olga YEGOROVA,RUS,14:29.32,31 AUG 2001,5000-metres,women
2001,Paula RADCLIFFE,GBR,30:55.80,07 APR 2001,10000-metres,women
2001,Yuriy BORZAKOVSKIY,RUS,1:42.47,24 AUG 2001,800-metres,men
2001,Hicham EL GUERROUJ,MAR,3:26.12,24 AUG 2001,1500-metres,men
2001,Richard LIMO,KEN,12:56.72,17 AUG 2001,5000-metres,men
2001,Abraham CHEBII,KEN,27:04.20,04 MAY 2001,10000-metres,men
2002,Jolanda ČEPLAK,SLO,1:55.19,20 JUL 2002,800-metres,women
2002,Süreyya AYHAN-KOP,TUR,3:57.75,30 AUG 2002,1500-metres,women
2002,Paula RADCLIFFE,GBR,14:31.42,28 JUL 2002,5000-metres,women
2002,Paula RADCLIFFE,GBR,30:01.09,06 AUG 2002,10000-metres,women
2002,Wilson KIPKETER,DEN,1:42.32,08 SEP 2002,800-metres,men
2002,Hicham EL GUERROUJ,MAR,3:26.89,16 AUG 2002,1500-metres,men
2002,Salah HISSOU,MAR,12:55.85,12 JUL 2002,5000-metres,men
2002,Sammy KIPKETER,KEN,26:49.38,30 AUG 2002,10000-metres,men
2003,Maria de Lurdes MUTOLA,MOZ,1:55.55,19 JUL 2003,800-metres,women
2003,Süreyya AYHAN-KOP,TUR,3:55.33,05 SEP 2003,1500-metres,women
2003,Berhane ADERE,ETH,14:29.32,27 JUN 2003,5000-metres,women
2003,Berhane ADERE,ETH,30:04.18,23 AUG 2003,10000-metres,women
2003,Wilfred BUNGEI,KEN,1:42.52,05 SEP 2003,800-metres,men
2003,Hicham EL GUERROUJ,MAR,3:28.40,05 SEP 2003,1500-metres,men
2003,Stephen CHERONO,KEN,12:48.81,12 JUN 2003,5000-metres,men
2003,Haile GEBRSELASSIE,ETH,26:29.22,05 SEP 2003,10000-metres,men
2004,Tatyana ANDRIANOVA,RUS,1:56.23,31 JUL 2004,800-metres,women
2004,Kelly HOLMES,GBR,3:57.90,28 AUG 2004,1500-metres,women
2004,Elvan ABEYLEGESSE,TUR,14:24.68,11 JUN 2004,5000-metres,women
2004,Paula RADCLIFFE,GBR,30:17.15,27 JUN 2004,10000-metres,women
2004,Wilfred BUNGEI,KEN,1:43.06,06 AUG 2004,800-metres,men
2004,Bernard LAGAT,KEN,3:27.40,06 AUG 2004,1500-metres,men
2004,Kenenisa BEKELE,ETH,12:37.35,31 MAY 2004,5000-metres,men
2004,Kenenisa BEKELE,ETH,26:20.31,08 JUN 2004,10000-metres,men
2005,Tatyana ANDRIANOVA,RUS,1:56.07,11 JUL 2005,800-metres,women
2005,Maryam Yusuf JAMAL,BRN,3:56.79,28 AUG 2005,1500-metres,women
2005,Meseret DEFAR,ETH,14:28.98,26 AUG 2005,5000-metres,women
2005,Tirunesh DIBABA,ETH,30:15.67,28 JUN 2005,10000-metres,women
2005,Wilfred BUNGEI,KEN,1:43.70,28 AUG 2005,800-metres,men
2005,Bernard LAGAT,USA,3:29.30,28 AUG 2005,1500-metres,men
2005,Kenenisa BEKELE,ETH,12:40.18,01 JUL 2005,5000-metres,men
2005,Kenenisa BEKELE,ETH,26:17.53,26 AUG 2005,10000-metres,men
2006,Janeth JEPKOSGEI,KEN,1:56.66,11 JUL 2006,800-metres,women
2006,Yuliya CHIZHENKO,RUS,3:55.68,08 JUL 2006,1500-metres,women
2006,Meseret DEFAR,ETH,14:24.53,03 JUN 2006,5000-metres,women
2006,Elvan ABEYLEGESSE,TUR,30:21.67,15 APR 2006,10000-metres,women
2006,Mbulaeni MULAUDZI,RSA,1:43.09,27 AUG 2006,800-metres,men
2006,Daniel Kipchirchir KOMEN,KEN,3:29.02,14 JUL 2006,1500-metres,men
2006,Kenenisa BEKELE,ETH,12:48.09,25 AUG 2006,5000-metres,men
